"","Entity","Year","disorder"
"1","Australia","1990",0.700091
"2","Australia","1994",0.719508
"3","Australia","1998",0.761552
"4","Australia","2002",0.828231
"5","Australia","2006",0.896383
"6","Australia","2010",0.928043
"7","Australia","2014",0.941661
"8","Canada","1991",0.442308
"9","Canada","1995",0.443547
"10","Canada","1999",0.447929
"11","Canada","2003",0.458293
"12","Canada","2007",0.467022
"13","Canada","2011",0.470892
"14","Canada","2015",0.474343
"15","China","1992",0.088183
"16","China","1996",0.093819
"17","China","2000",0.10248
"18","China","2004",0.113182
"19","China","2008",0.125854
"20","China","2012",0.140075
"21","China","2016",0.155511
"22","France","1993",0.512079
"23","France","1997",0.521843
"24","France","2001",0.531076
"25","France","2005",0.545991
"26","France","2009",0.555602
"27","France","2013",0.564262
"28","France","2017",0.573755
"29","Australia","1801",350143
"30","Australia","1805",346681
"31","Australia","1809",343253
"32","Australia","1813",339515
"33","Australia","1817",336398
"34","Australia","1821",333554
"35","Australia","1825",335357
"36","Australia","1829",344087
"37","Australia","1833",366762
"38","Australia","1837",398905
"39","Australia","1841",448667
"40","Australia","1845",543952
"41","Australia","1849",698667
"42","Australia","1853",877298
"43","Australia","1857",1084839
"44","Australia","1861",1307041
"45","Australia","1865",1505275
"46","Australia","1869",1680440
"47","Australia","1873",1860078
"48","Australia","1877",2058146
"49","Australia","1881",2320568
"50","Australia","1885",2650339
"51","Australia","1889",3006483
"52","Australia","1893",3318788
"53","Australia","1897",3575727
"54","Australia","1901",3798583
"55","Australia","1905",4022248
"56","Australia","1909",4301164
"57","Australia","1913",4811885
"58","Australia","1917",4986587
"59","Australia","1921",5472619
"60","Australia","1925",5951010
"61","Australia","1929",6399355
"62","Australia","1933",6640721
"63","Australia","1937",6853042
"64","Australia","1941",7119446
"65","Australia","1945",7401873
"66","Australia","1949",7949150
"67","Australia","1953",8782000
"68","Australia","1957",9587000
"69","Australia","1961",10446000
"70","Australia","1965",11313000
"71","Australia","1969",12519000
"72","Australia","1973",13432000
"73","Australia","1977",14093000
"74","Australia","1981",14777000
"75","Australia","1985",15664000
"76","Australia","1989",16714000
"77","Australia","1993",17603000
"78","Australia","1997",18387000
"79","Australia","2001",19195000
"80","Australia","2005",20179000
"81","Australia","2009",21751000
"82","Australia","2013",23255000
"83","Australia","2017",24585000
"84","Canada","1800",645526
"85","Canada","1804",676502
"86","Canada","1808",708964
"87","Canada","1812",747795
"88","Canada","1816",802548
"89","Canada","1820",879432
"90","Canada","1824",983350
"91","Canada","1828",1119845
"92","Canada","1832",1294175
"93","Canada","1836",1501876
"94","Canada","1840",1745604
"95","Canada","1844",2020978
"96","Canada","1848",2324621
"97","Canada","1852",2649248
"98","Canada","1856",2954854
"99","Canada","1860",3231338
"100","Canada","1864",3478880
"101","Canada","1868",3709828
"102","Canada","1872",3920032
"103","Canada","1876",4132060
"104","Canada","1880",4359836
"105","Canada","1884",4592456
"106","Canada","1888",4806813
"107","Canada","1892",5007511
"108","Canada","1896",5219192
"109","Canada","1900",5529722
"110","Canada","1904",6017754
"111","Canada","1908",6754675
"112","Canada","1912",7597612
"113","Canada","1916",8200074
"114","Canada","1920",8761911
"115","Canada","1924",9368209
"116","Canada","1928",10071846
"117","Canada","1932",10753889
"118","Canada","1936",11202383
"119","Canada","1940",11652870
"120","Canada","1944",12221295
"121","Canada","1948",13139212
"122","Canada","1952",14445000
"123","Canada","1956",16115000
"124","Canada","1960",17847000
"125","Canada","1964",19284000
"126","Canada","1968",20675000
"127","Canada","1972",22072000
"128","Canada","1976",23355000
"129","Canada","1980",24417000
"130","Canada","1984",25445000
"131","Canada","1988",26806000
"132","Canada","1992",28224000
"133","Canada","1996",29458000
"134","Canada","2000",30588000
"135","Canada","2004",31815000
"136","Canada","2008",33338000
"137","Canada","2012",34922000
"138","Canada","2016",36383000
"139","China","1801",324408864
"140","China","1805",335578592
"141","China","1809",347132896
"142","China","1813",359404704
"143","China","1817",371212288
"144","China","1821",382875072
"145","China","1825",392868000
"146","China","1829",400744448
"147","China","1833",406413824
"148","China","1837",409962976
"149","China","1841",411182880
"150","China","1845",409214624
"151","China","1849",404363616
"152","China","1853",397183168
"153","China","1857",388536800
"154","China","1861",378594720
"155","China","1865",370718752
"156","China","1869",366283712
"157","China","1873",364371328
"158","China","1877",365532000
"159","China","1881",369694752
"160","China","1885",374330752
"161","China","1889",379814400
"162","China","1893",386553216
"163","China","1897",394447904
"164","China","1901",402934752
"165","China","1905",411867872
"166","China","1909",421646016
"167","China","1913",437748288
"168","China","1917",457406592
"169","China","1921",474352192
"170","China","1925",481113856
"171","China","1929",487971648
"172","China","1933",500363008
"173","China","1937",511375072
"174","China","1941",522258592
"175","China","1945",533373120
"176","China","1949",546045376
"177","China","1953",593366016
"178","China","1957",630678016
"179","China","1961",670953024
"180","China","1965",724219008
"181","China","1969",805985984
"182","China","1973",889484992
"183","China","1977",957891008
"184","China","1981",1014022016
"185","China","1985",1075588992
"186","China","1989",1158356992
"187","China","1993",1218817024
"188","China","1997",1261996032
"189","China","2001",1299129984
"190","China","2005",1330776064
"191","China","2009",1361169024
"192","China","2013",1391883008
"193","China","2017",1421021952
"194","France","1800",29355112
"195","France","1804",29724666
"196","France","1808",30098874
"197","France","1812",30499974
"198","France","1816",30985992
"199","France","1820",31549988
"200","France","1824",32163920
"201","France","1828",32821932
"202","France","1832",33535144
"203","France","1836",34219856
"204","France","1840",34854476
"205","France","1844",35456428
"206","France","1848",36026240
"207","France","1852",36516192
"208","France","1856",36989680
"209","France","1860",37461340
"210","France","1864",37712548
"211","France","1868",37999324
"212","France","1872",38355896
"213","France","1876",38692944
"214","France","1880",39014052
"215","France","1884",39566808
"216","France","1888",39916880
"217","France","1892",40104664
"218","France","1896",40331468
"219","France","1900",40628636
"220","France","1904",40900292
"221","France","1908",41135004
"222","France","1912",41465112
"223","France","1916",39975432
"224","France","1920",39069936
"225","France","1924",40359568
"226","France","1928",41168096
"227","France","1932",41966604
"228","France","1936",42023400
"229","France","1940",40927544
"230","France","1944",39290440
"231","France","1948",41184804
"232","France","1952",42316000
"233","France","1956",43809000
"234","France","1960",45673000
"235","France","1964",48184000
"236","France","1968",50025000
"237","France","1972",51573000
"238","France","1976",52969000
"239","France","1980",53868000
"240","France","1984",54965000
"241","France","1988",56126000
"242","France","1992",57147000
"243","France","1996",58012000
"244","France","2000",59015000
"245","France","2004",60698000
"246","France","2008",62209000
"247","France","2012",63564000
"248","France","2016",64668000
"249","Australia","1801",350143
"250","Australia","1805",346681
"251","Australia","1809",343253
"252","Australia","1813",339515
"253","Australia","1817",336398
"254","Australia","1821",333554
"255","Australia","1825",335357
"256","Australia","1829",344087
"257","Australia","1833",366762
"258","Australia","1837",398905
"259","Australia","1841",448667
"260","Australia","1845",543952
"261","Australia","1849",698667
"262","Australia","1853",877298
"263","Australia","1857",1084839
"264","Australia","1861",1307041
"265","Australia","1865",1505275
"266","Australia","1869",1680440
"267","Australia","1873",1860078
"268","Australia","1877",2058146
"269","Australia","1881",2320568
"270","Australia","1885",2650339
"271","Australia","1889",3006483
"272","Australia","1893",3318788
"273","Australia","1897",3575727
"274","Australia","1901",3798583
"275","Australia","1905",4022248
"276","Australia","1909",4301164
"277","Australia","1913",4811885
"278","Australia","1917",4986587
"279","Australia","1921",5472619
"280","Australia","1925",5951010
"281","Australia","1929",6399355
"282","Australia","1933",6640721
"283","Australia","1937",6853042
"284","Australia","1941",7119446
"285","Australia","1945",7401873
"286","Australia","1949",7949150
"287","Australia","1953",8782000
"288","Australia","1957",9587000
"289","Australia","1961",10446000
"290","Australia","1965",11313000
"291","Australia","1969",12519000
"292","Australia","1973",13432000
"293","Australia","1977",14093000
"294","Australia","1981",14777000
"295","Australia","1985",15664000
"296","Australia","1989",16714000
"297","Australia","1993",17603000
"298","Australia","1997",18387000
"299","Australia","2001",19195000
"300","Australia","2005",20179000
"301","Australia","2009",21751000
"302","Australia","2013",23255000
"303","Australia","2017",24585000
"304","Canada","1800",645526
"305","Canada","1804",676502
"306","Canada","1808",708964
"307","Canada","1812",747795
"308","Canada","1816",802548
"309","Canada","1820",879432
"310","Canada","1824",983350
"311","Canada","1828",1119845
"312","Canada","1832",1294175
"313","Canada","1836",1501876
"314","Canada","1840",1745604
"315","Canada","1844",2020978
"316","Canada","1848",2324621
"317","Canada","1852",2649248
"318","Canada","1856",2954854
"319","Canada","1860",3231338
"320","Canada","1864",3478880
"321","Canada","1868",3709828
"322","Canada","1872",3920032
"323","Canada","1876",4132060
"324","Canada","1880",4359836
"325","Canada","1884",4592456
"326","Canada","1888",4806813
"327","Canada","1892",5007511
"328","Canada","1896",5219192
"329","Canada","1900",5529722
"330","Canada","1904",6017754
"331","Canada","1908",6754675
"332","Canada","1912",7597612
"333","Canada","1916",8200074
"334","Canada","1920",8761911
"335","Canada","1924",9368209
"336","Canada","1928",10071846
"337","Canada","1932",10753889
"338","Canada","1936",11202383
"339","Canada","1940",11652870
"340","Canada","1944",12221295
"341","Canada","1948",13139212
"342","Canada","1952",14445000
"343","Canada","1956",16115000
"344","Canada","1960",17847000
"345","Canada","1964",19284000
"346","Canada","1968",20675000
"347","Canada","1972",22072000
"348","Canada","1976",23355000
"349","Canada","1980",24417000
"350","Canada","1984",25445000
"351","Canada","1988",26806000
"352","Canada","1992",28224000
"353","Canada","1996",29458000
"354","Canada","2000",30588000
"355","Canada","2004",31815000
"356","Canada","2008",33338000
"357","Canada","2012",34922000
"358","Canada","2016",36383000
"359","China","1801",324408864
"360","China","1805",335578592
"361","China","1809",347132896
"362","China","1813",359404704
"363","China","1817",371212288
"364","China","1821",382875072
"365","China","1825",392868000
"366","China","1829",400744448
"367","China","1833",406413824
"368","China","1837",409962976
"369","China","1841",411182880
"370","China","1845",409214624
"371","China","1849",404363616
"372","China","1853",397183168
"373","China","1857",388536800
"374","China","1861",378594720
"375","China","1865",370718752
"376","China","1869",366283712
"377","China","1873",364371328
"378","China","1877",365532000
"379","China","1881",369694752
"380","China","1885",374330752
"381","China","1889",379814400
"382","China","1893",386553216
"383","China","1897",394447904
"384","China","1901",402934752
"385","China","1905",411867872
"386","China","1909",421646016
"387","China","1913",437748288
"388","China","1917",457406592
"389","China","1921",474352192
"390","China","1925",481113856
"391","China","1929",487971648
"392","China","1933",500363008
"393","China","1937",511375072
"394","China","1941",522258592
"395","China","1945",533373120
"396","China","1949",546045376
